,nm_produto,ds_classe2,vl_total
307,Pao DeliCia Hamburger 350g,Padaria,71.64
308,Pao Doce C/Creme Kg,Padaria,2.28
309,Sab.Francis Classico 90g Lilas,Perfumaria/Higiene E Beleza,4.67
310,Cha Real Mel 32g C/20,Seca Doce,3.35
311,Desod.Rexona Rollon 50ml V8 Men,Perfumaria/Higiene E Beleza,8.68
312,Vinagre Rosani Maca 750ml,Seca Salgada,14.25
313,Vinagre Rosani de Arroz 500ml,Seca Salgada,2.22
314,Leite Vidativa Past.1l Tipo B,Leite,24.75
315,Pao DeliCia Integral 450g,Padaria,5.28
316,Molho Tomate Calcuta Cremoso 780g Pet,Seca Salgada,5.47
317,Arroz Buriti Parb.1kg,Seca Pesada,33.01
318,Molho Tomate Predilecta Refog.340g Sache,Seca Salgada,63.87
319,Doce Leite Oliveira Xupao 100g,Seca Doce,10.50
320,Maionese Arisco 550g Sache,Seca Salgada,8.98
321,Pao de Queijo Kg,Padaria,96.63
322,Vinagre Rosani Tto 750ml,Seca Salgada,7.84
323,Desinf.Minuano Perf.Eucalipto 500ml,Limpeza,6.27
324,Beb.Lactea Batavo 540g Mrgo/Pess,Laticinios,65.06
325,Leite Condensado Tirol 395g,Seca Doce,67.29
326,Desodor.Desoflor Past.Ades.Floral C/3,Limpeza,11.97
327,"Choc.Nestle Kit Kat 4finger Bco 41,5g",Seca Leve,63.05
328,Cr.Dental Colgate 90g T.Acao Original,Perfumaria/Higiene E Beleza,42.72
329,Cafe Alvorada E.Forte Almof.500g,Seca Pesada,31.92
330,Queijo Santa Clara Minas Red.Sodio Kg,Laticinios,33.17
331,Iog.Frimesa Rest.Lactose 165g Fts Verm.,Laticinios,16.40
332,Leite Condensado Frimesa 395g Tp,Seca Doce,93.39
333,Feijao Pe Vermelho Carioca 1kg,Seca Pesada,93.01
334,Massa Ninfa Inst.Leg.85g,Seca Leve,11.57
335,Farofa Mand.Pinduca Suave 250g,Seca Pesada,17.28
336,Mil.Pipoca Pinduca Imp.Gold 500g,Seca Pesada,8.16
337,Massa Ninfa C/O Paraf.500g,Seca Leve,14.52
338,Massa Ninfa C/O Tricol.Paraf.500g,Seca Leve,3.09
339,Bisc.Negresco Rech.Choc.140g,Seca Leve,72.27
340,Hastes Flex.Cottonbaby C/75,Perfumaria/Higiene E Beleza,13.05
341,Azeite Port.Gallo Ext.Virg.Suave 500ml,Seca Pesada,19.98
342,Limpador Cif Ultra C.Cloro 250ml,Limpeza,6.99
343,Choc.Garoto Rech.Talento Cookies 90g,Seca Leve,25.90
344,Polvilho Azedo Yoki 500g,Seca Doce,7.86
345,Acucar Glacucar Uniao 500g,Seca Doce,2.64
346,Queijo Frimesa Mussarela Fat.200g,Laticinios,13.50
347,Leite Santa Clara Uht 1l Semidesnatado,Leite,61.23
348,Tempero Sazon Limao 60g,Seca Salgada,10.87
349,Presunto Sadia Coz.Fat.200g,"Frios,Massas E Gordurosos",12.97
350,Queijo Gran Mestri Parm.Ral.40g,Laticinios,77.87
351,Pao DeliCia Hot Dog 400g,Padaria,51.74
352,Leite Po Ninho Int.L400 P360g La,Seca Doce,19.78
353,Atum Ralado Gomes Costa Natural 170g,Seca Salgada,29.27
354,Polenta Milharina S/Sal 500g,Seca Pesada,6.81
355,Ovos Label Rouge Verm.Organico 6un,Granjeiros,10.68
356,Agua Sanit.Q.Boa 1l,Limpeza,54.94
357,Papel Hig.Duetto Neutro Fd 30m C/4,Limpeza,71.55
358,Filtro Papel Brigitta 102 C/30,Seca Pesada,20.38
359,Toalha de Papel Bob C/2 120 Folhas,Limpeza,13.59
360,Choc.Nestle Alpino 100g,Seca Leve,30.73
361,Salg.Sta Helena Trofeu Pizza 50g,Seca Leve,10.62
362,Salg.Sta Helena Trofeu Churr.50g,Seca Leve,22.14
363,Cerv.Sol Premium 330ml Ln,Bebidas Frias,58.14
364,Peito Sadia de Peru Light Def.Kg,Fiambreria,65.76
365,Bombom Ferrero Raffaello T-3 30g,Seca Leve,4.53
366,Cerv.Kaiser Pilsen 350ml La,Bebidas Frias,82.22
367,Bisc.Marilan Maizena 400g,Seca Leve,12.15
368,Nata Santa Clara 350g,Leite,48.72
369,Limpador Mr.Musculo Perf.Floral 500ml,Limpeza,9.57
370,Oleo de Coco Jandira Ext.Virg.200ml,Seca Doce,20.99
371,Bisc.Marilan C.Cracker Gergelim 400g,Seca Leve,4.80
372,Lava Roupa Girando Sol Coco 2l,Limpeza,25.80
373,Shampoo Naturre 300ml Leite de Cabra,Perfumaria/Higiene E Beleza,12.88
374,Creme Trat.Origem 1kg Oleo Argan,Perfumaria/Higiene E Beleza,7.73
375,Condic.Naturre 240ml Oleo de Coco,Perfumaria/Higiene E Beleza,35.32
376,Sorvete Kibon Mini Eskibon 104g,Congelados,8.49
377,Bisc.Bauducco Recheadinho Choc.104g,Seca Leve,5.27
378,Pao de Manteiga Kg,Padaria,14.60
379,Drop.S Halls Menthol C/3 102g,Seca Leve,7.72
380,Fuba Campo Largo Bco 1kg,Seca Pesada,3.77
381,Refr.Po Tang Abac.25g,Bebidas Frias,24.12
382,Refr.Po Tang Uva 25g,Bebidas Frias,45.56
383,Torta de Banana C/Caramelo Kg Sco,Confeitaria,6.73
384,Pao Nino Hot Dog 240g,Paes E Bolos Industrializados,19.20
385,Batata DeliCia Ond.Orig.50g,Seca Leve,7.14
386,Torta de Abacaxi C/Caramelo Kg,Confeitaria,2.67
387,Suco Super Suco 900ml Lja Integ.,Laticinios,20.97
388,Molho Hemer Barbucue 330g,Seca Salgada,6.46
389,Ketchup Hemmer Zero 320g,Seca Salgada,4.69
390,Chineck de Creme Kg,Padaria,17.03
391,Polpa Frut Life Manga 100g,Congelados,2.76
392,Polpa Frut Life Goiaba 100g,Congelados,2.76
393,Polpa Frut Life Abac.C/Hort.100g,Congelados,2.76
394,Cerv.Antarc.Subzero 350ml La,Bebidas Frias,71.19
395,Agua Min.O.Fino 6l,Bebidas Frias,42.34
396,Batata DeliCia Palha 120g,Seca Leve,31.60
397,Queijo Prato Sadia Fatiado Kg,Fiambreria,13.73
398,Bisc.Cartoon Rech.Choc.140g,Seca Leve,10.43
399,"Cha Lipton Ice Tea Lim.1,5l Pet",Bebidas Frias,98.45
400,"Cha Lipton Ice Tea Pess.1,5l Pet",Bebidas Frias,77.57
401,Bisc.Minueto Waffer Choc.115g,Seca Leve,21.23
402,Cerv.Itaipava Pilsen 250ml Ln,Bebidas Frias,7.74
403,Bisc.Belvita Mel 75g,Seca Leve,9.95
404,Bisc.Marilan Pit Stop 5 Cereais 168g,Seca Leve,13.83
405,Pastilhas Tic-Tac Frutas 16g,Seca Leve,4.90
406,Bisc.Marilan Choc.Integ.330g,Seca Leve,3.95
407,Suco Mais Uva 1l Tp,Bebidas Frias,4.49
408,Cereal Nescau 120g Sachet,Seca Doce,7.58
409,Marg.Qualy 500g C/Sal,"Frios,Massas E Gordurosos",218.69
