,nm_produto,ds_classe2,vl_total
365,Manteiga Crioulo 200g C/Sal,"Frios,Massas E Gordurosos",17.07
366,Desodor.Inspira Past.Ades.Lav.L4p3,Limpeza,15.96
367,Cr.Dental Close-Up 90g Bioativa L3p2,Perfumaria/Higiene E Beleza,42.29
368,Refr.Po Tang Mix Lja/Mrgo/Mrcja 25g,Bebidas Frias,59.13
369,Desod.Rexona Rollon 50ml Antibac Invis.M,Perfumaria/Higiene E Beleza,17.36
370,Refrig.Coca-Cola 220ml Mini Lata,Bebidas Frias,14.90
371,Sab.Johnson 90g Nut.Fortalecedora,Perfumaria/Higiene E Beleza,10.64
372,Bisc.Isabela Maria Choc.400g,Seca Leve,17.65
373,Amend.Sta Helena Crokissimo Lev.Sal.400g,Seca Leve,37.13
374,Refr.Po Tang Lja Citrus 25g,Bebidas Frias,24.34
375,Cj.Limpador Sanot.Harpic Cx Ac.C/50% 2 B,Limpeza,43.53
376,Amac.Comfort Conc.Glamour 900ml Sache,Limpeza,95.20
377,Sabao Omo Liq.Sports 1l Sache,Limpeza,91.50
378,Sabao Omo Liq.P.Cuidado 1l Sache,Limpeza,29.16
379,Papel Hig.Mili Neutro Fd 60m C/12,Limpeza,229.41
380,Bisc.Club Social Crostini Tmte Seco 80g,Seca Leve,23.72
381,Purif.Glade T.Frescor L.Infan.Ref.L3p2,Limpeza,42.30
382,Extrato Tomate Elefante 280g,Seca Salgada,87.92
383,Limpador Veja X14 Banheiro Refil 400ml,Limpeza,35.42
384,Marg.Claybom 1kg C/Sal,"Frios,Massas E Gordurosos",21.15
385,Batata Castrolanda Ond.Trad.45g,Seca Leve,4.82
386,Panettone Bauducco 500g Cx,Paes E Bolos Industrializados,376.71
387,Leite Tirol Uht 1l Integ.Tampa Rosca,Leite,3328.89
388,Gelatina Dr.Oetker Minha Gelat.Mrgo.75g,Seca Doce,15.90
389,Pao Panco Bisnaguinha 300g,Paes E Bolos Industrializados,155.25
390,Papel Hig.Duetto Neutro Fd C/4 50m,Limpeza,30.84
